StationNum:30
WorkerNum:120
ParcelNum:40
station lat lng lowerbound upperbound
1 43659 -79383 100 1000
2 43650 -79384 100 1000
3 43785 -79411 100 1000
4 43714 -79390 100 1000
5 43648 -79573 100 1000
6 43667 -79387 100 1000
7 43706 -79421 100 1000
8 43752 -79473 100 1000
9 43762 -79398 100 1000
10 43795 -79267 100 1000
11 43664 -79468 100 1000
12 43683 -79336 100 1000
13 43696 -79369 100 1000
14 43755 -79451 100 1000
15 43776 -79258 100 1000
16 43659 -79383 100 1000
17 43650 -79384 100 1000
18 43785 -79411 100 1000
19 43714 -79390 100 1000
20 43648 -79573 100 1000
21 43667 -79387 100 1000
22 43706 -79421 100 1000
23 43752 -79473 100 1000
24 43762 -79398 100 1000
25 43795 -79267 100 1000
26 43664 -79468 100 1000
27 43683 -79336 100 1000
28 43696 -79369 100 1000
29 43755 -79451 100 1000
30 43776 -79258 100 1000
worker latO lngO latD lngD capacity drivingTMax
1 43773 -79416 43677 -79378 59 26
2 43703 -79433 43687 -79390 39 10
3 43651 -79380 43647 -79364 55 4
4 43649 -79366 43720 -79384 52 20
5 43690 -79263 43750 -79338 53 28
6 43716 -79333 43628 -79540 43 52
7 43658 -79387 43765 -79515 45 46
8 43733 -79447 43665 -79461 69 26
9 43761 -79472 43667 -79323 65 48
10 43774 -79265 43815 -79314 67 18
11 43652 -79392 43652 -79392 40 2
12 43704 -79394 43707 -79273 35 28
13 43651 -79376 43779 -79358 35 42
14 43690 -79444 43784 -79144 30 64
15 43671 -79457 43721 -79500 51 18
16 43778 -79248 43765 -79184 68 18
17 43652 -79392 43746 -79552 34 46
18 43662 -79389 43643 -79379 55 4
19 43643 -79379 43737 -79272 46 38
20 43701 -79446 43695 -79410 61 8
21 43693 -79362 43669 -79350 69 8
22 43636 -79464 43618 -79539 49 14
23 43681 -79350 43663 -79442 59 18
24 43666 -79398 43814 -79213 59 62
25 43781 -79224 43694 -79419 62 48
26 43723 -79373 43727 -79269 63 24
27 43642 -79378 43647 -79383 51 2
28 43656 -79394 43656 -79394 65 2
29 43703 -79461 43635 -79549 35 30
30 43672 -79392 43680 -79412 33 6
31 43650 -79384 43670 -79409 69 8
32 43679 -79516 43782 -79271 58 62
33 43801 -79280 43828 -79257 58 10
34 43738 -79324 43668 -79384 35 30
35 43769 -79395 43645 -79379 48 34
36 43634 -79525 43619 -79501 30 6
37 43781 -79382 43749 -79485 32 24
38 43677 -79393 43666 -79398 43 4
39 43655 -79377 43675 -79314 43 14
40 43664 -79477 43643 -79500 64 12
41 43768 -79405 43815 -79314 59 26
42 43665 -79461 43675 -79419 39 8
43 43647 -79383 43648 -79391 55 2
44 43720 -79263 43730 -79293 52 6
45 43688 -79459 43651 -79380 53 22
46 43697 -79336 43704 -79394 43 14
47 43730 -79595 43752 -79523 45 18
48 43709 -79348 43803 -79309 69 32
49 43659 -79421 43623 -79521 65 24
50 43645 -79426 43677 -79378 67 16
51 43756 -79232 43767 -79297 40 16
52 43644 -79375 43643 -79411 35 8
53 43730 -79293 43819 -79206 35 34
54 43699 -79557 43630 -79568 30 22
55 43722 -79536 43653 -79385 51 40
56 43741 -79537 43726 -79499 68 12
57 43656 -79394 43774 -79506 34 42
58 43762 -79398 43683 -79396 55 22
59 43669 -79332 43647 -79383 46 12
60 43787 -79247 43787 -79247 61 2
61 43612 -79520 43594 -79527 69 6
62 43665 -79540 43653 -79385 49 34
63 43645 -79390 43727 -79331 59 30
64 43652 -79392 43694 -79306 59 24
65 43664 -79379 43666 -79398 62 4
66 43689 -79506 43653 -79368 63 32
67 43775 -79408 43744 -79367 51 14
68 43799 -79326 43655 -79377 65 48
69 43764 -79310 43779 -79358 35 12
70 43714 -79390 43650 -79401 33 20
71 43733 -79284 43728 -79362 69 18
72 43756 -79232 43780 -79238 58 6
73 43703 -79344 43640 -79570 58 50
74 43648 -79391 43693 -79362 35 16
75 43601 -79536 43590 -79539 48 2
76 43807 -79294 43755 -79566 30 56
77 43774 -79488 43677 -79480 32 26
78 43757 -79262 43799 -79326 43 20
79 43735 -79243 43714 -79390 43 28
80 43716 -79333 43814 -79265 64 38
81 43701 -79446 43645 -79390 59 20
82 43712 -79238 43647 -79364 39 32
83 43640 -79377 43641 -79390 55 4
84 43766 -79382 43799 -79326 52 18
85 43715 -79485 43715 -79485 53 2
86 43659 -79379 43693 -79480 43 24
87 43766 -79382 43796 -79374 45 10
88 43773 -79189 43834 -79229 69 20
89 43643 -79411 43657 -79534 65 28
90 43711 -79587 43740 -79573 67 10
91 43723 -79347 43722 -79290 40 10
92 43614 -79484 43653 -79385 35 24
93 43608 -79503 43633 -79492 35 8
